"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.828,6.5221,1.3737,2.7498,0.82573,0,1.7069,0.49633,1.3073,1,0.186,0.186,0.2,0
1.8281,6.5223,1.3736,2.7498,0.82577,0,1.7071,0.49641,1.3073,1,0.188,0.188,0.2,0
1.8283,6.5228,1.3735,2.7499,0.82581,0,1.7073,0.49651,1.3074,1,0.19,0.19,0.2,0
1.8284,6.5232,1.3734,2.75,0.82594,0,1.7075,0.49658,1.3074,1,0.192,0.192,0.2,0
1.8285,6.5236,1.3734,2.7501,0.82602,0,1.7076,0.49665,1.3074,1,0.194,0.194,0.2,0
1.8285,6.5235,1.3734,2.7501,0.82594,0,1.7076,0.49665,1.3074,1,0.196,0.196,0.2,0
1.8285,6.5234,1.3733,2.75,0.82585,0,1.7076,0.49665,1.3074,1,0.198,0.198,0.2,0
1.8285,6.5233,1.3733,2.75,0.82579,0,1.7076,0.49665,1.3074,1,0.2,0.2,0.2,0
1.8285,6.5233,1.3733,2.75,0.82576,0,1.7076,0.49664,1.3074,1,0.202,0.202,0.2,0
1.8285,6.5233,1.3733,2.75,0.82573,0,1.7075,0.49663,1.3074,1,0.204,0.204,0.2,0
1.8285,6.5232,1.3733,2.75,0.82569,0,1.7075,0.49662,1.3074,1,0.206,0.206,0.2,0
1.8285,6.5232,1.3734,2.75,0.82566,0,1.7075,0.49661,1.3074,1,0.208,0.208,0.2,0
1.8285,6.5231,1.3734,2.75,0.82563,0,1.7075,0.49661,1.3074,1,0.21,0.21,0.2,0
1.8285,6.5231,1.3733,2.75,0.82561,0,1.7075,0.49661,1.3074,1,0.212,0.212,0.2,0
1.8285,6.5231,1.3733,2.75,0.82558,0,1.7075,0.49661,1.3074,1,0.214,0.214,0.2,0
1.8285,6.523,1.3733,2.75,0.82556,0,1.7075,0.49661,1.3074,1,0.216,0.216,0.2,0
