"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         130,      -5.827829547,       -5.62063704,      -5.897713962,      -5.270336086
          0,           0,         131,      -5.846645347,      -5.642449527,      -5.918538272,      -5.292744039
          0,           0,         132,      -5.866722191,      -5.665445364,      -5.940702608,      -5.316483077
          0,           0,         133,      -5.887806651,      -5.688605376,      -5.964272001,      -5.340523049
          0,           0,         134,      -5.909852723,      -5.711322539,       -5.98895462,      -5.364252831
          0,           0,         135,      -5.932930961,      -5.733496565,      -6.014206862,      -5.387604795
          0,           0,         136,      -5.957028951,      -5.755317689,      -6.039743865,      -5.410843642
          0,           0,         137,      -5.981955393,      -5.777102527,      -6.065583325,      -5.434379088
          0,           0,         138,      -6.007170431,      -5.798815869,      -6.092054478,      -5.458221315
          0,           0,         139,      -6.021733946,       -5.81452018,      -6.110712473,       -5.47511839
          0,           0,         140,       -6.03657727,      -5.830700134,      -6.128698763,       -5.49288631
          0,           0,         141,      -6.051374058,      -5.846728072,      -6.147015113,      -5.510614156
          0,           0,         142,      -6.065838921,      -5.861720908,      -6.165796613,      -5.527347904
          0,           0,         143,       -6.07984228,      -5.875144649,      -6.184630511,      -5.542480001
          0,           0,         144,      -6.093414093,      -5.886922669,       -6.20285188,      -5.555907981
          0,           0,         145,      -6.106616931,      -5.897316627,      -6.219950173,      -5.567860585
          0,           0,         146,      -6.119399003,      -5.906707038,      -6.235605731,      -5.578614357
          0,           0,         147,      -6.131283583,      -5.915943129,      -6.250198728,      -5.588847113
          0,           0,         148,      -6.142391414,      -5.925345244,      -6.263640885,      -5.598874599
          0,           0,         149,      -6.152759633,      -5.934950293,      -6.275968824,      -5.608653687
          0,           0,         150,      -6.162489612,      -5.944737769,      -6.287119524,      -5.618153416
          0,           0,         151,      -6.171673342,      -5.954623526,      -6.297022174,      -5.627335389
          0,           0,         152,      -6.180384258,      -5.964513789,      -6.305714033,       -5.63618041
          0,           0,         153,       -6.18716852,      -5.974220588,      -6.315765739,      -5.645334636
          0,           0,         154,      -6.193846858,      -5.983650995,      -6.322807528,       -5.65425878
          0,           0,         155,      -6.200129195,       -5.99249509,      -6.328568782,      -5.662263542
          0,           0,         156,      -6.206026185,      -6.000534966,      -6.333684912,      -5.669128575
          0,           0,         157,      -6.211652392,      -6.007706959,      -6.338052172,      -5.674900579
          0,           0,         158,      -6.217168638,      -6.014101934,      -6.341430826,      -5.679817478
          0,           0,         159,      -6.222720872,       -6.01991225,      -6.343784769,         -5.684188
          0,           0,         160,      -6.228394768,      -6.025351729,      -6.345353156,      -5.688291102
          0,           0,         161,      -6.233780461,      -6.033126881,      -6.352349899,      -5.695356123
          0,           0,         162,      -6.239200263,      -6.040583434,      -6.356760193,      -5.702464897
          0,           0,         163,      -6.244397609,      -6.047578453,      -6.360413406,       -5.70899526
          0,           0,         164,      -6.249367129,      -6.053892112,      -6.363908093,      -5.714703828
          0,           0,         165,      -6.254150469,      -6.059329525,       -6.36730024,      -5.719502369
          0,           0,         166,      -6.258889247,      -6.063909436,      -6.370394935,      -5.723542753
          0,           0,         167,      -6.263746794,      -6.067791845,      -6.373043882,      -5.727086752
          0,           0,         168,      -6.268857327,       -6.07122686,      -6.375327075,      -5.730407772
          0,           0,         169,      -6.274445031,      -6.075470081,      -6.378781879,      -5.734707205
          0,           0,         170,      -6.280265087,      -6.079460023,      -6.381811202,      -5.738979534
          0,           0,         171,      -6.286136317,      -6.087494188,      -6.390883146,      -5.747097073
          0,           0,         172,      -6.291987499,      -6.094880156,      -6.397195031,      -5.755074091
          0,           0,         173,      -6.297605027,      -6.101661705,      -6.402751223,      -5.762292044
          0,           0,         174,      -6.303023386,      -6.107677787,      -6.408187911,      -5.768533741
          0,           0,         175,      -6.308340907,      -6.112831973,      -6.413519006,      -5.773811561
          0,           0,         176,      -6.313750917,      -6.117265359,      -6.418505082,      -5.778413899
          0,           0,         177,      -6.319465318,      -6.121294127,      -6.423018576,      -5.782754831
          0,           0,         178,      -6.325644513,      -6.125306706,      -6.427205826,      -5.787231393
          0,           0,         179,      -6.332370519,      -6.129658116,      -6.431476777,      -5.792144152
          0,           0,         180,      -6.339988822,      -6.135885808,      -6.437865395,      -5.798924763
          0,           0,         181,      -6.348448673,      -6.143743402,      -6.445755295,      -5.807433694
          0,           0,         182,      -6.357597039,      -6.152915843,      -6.454963986,      -5.817240097
          0,           0,         183,      -6.367359642,      -6.163011458,      -6.465179491,      -5.827987574
          0,           0,         184,      -6.377669342,      -6.173726992,      -6.476185769,      -5.839409323
          0,           0,         185,      -6.388443654,      -6.184800885,      -6.487788113,      -5.851292136
          0,           0,         186,      -6.399621442,       -6.19608315,      -6.499871744,      -5.863515595
          0,           0,         187,      -6.411118196,       -6.20744983,      -6.512408705,      -5.875965972
          0,           0,         188,      -6.422914581,      -6.218920986,      -6.525214626,      -5.888653764
          0,           0,         189,       -6.43493044,      -6.230435933,      -6.538300685,      -5.901512823
