"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Residual_Density","Residual_Energy","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4884,5.4025,1.5742,2.5139,0.44889,0,1.2819,0.28383,-3.1473e-16,-1.4884e-15,-6.5669e-16,7.5267e-17,0,1.2015,1,0.182,0.182,0.2,0
1.5131,5.4843,1.5601,2.53,0.47903,0,1.313,0.29938,-2.7389e-16,-1.3412e-15,-5.8295e-16,-1.4096e-17,0,1.2091,1,0.184,0.184,0.2,0
1.5378,5.5661,1.546,2.5462,0.50918,0,1.3441,0.31492,-2.3305e-16,-1.1941e-15,-5.092e-16,-1.0346e-16,0,1.2167,1,0.186,0.186,0.2,0
1.5625,5.6478,1.5319,2.5623,0.53932,0,1.3752,0.33047,-1.9221e-16,-1.0469e-15,-4.3546e-16,-1.9282e-16,0,1.2243,1,0.188,0.188,0.2,0
1.5872,5.7296,1.5178,2.5785,0.56946,0,1.4063,0.34602,-1.5137e-16,-8.9974e-16,-3.6172e-16,-2.8218e-16,0,1.2319,1,0.19,0.19,0.2,0
1.6119,5.8114,1.5037,2.5946,0.5996,0,1.4374,0.36157,-1.1052e-16,-7.5258e-16,-2.8797e-16,-3.7155e-16,0,1.2395,1,0.192,0.192,0.2,0
1.6366,5.8931,1.4895,2.6108,0.62974,0,1.4685,0.37712,-6.9681e-17,-6.0542e-16,-2.1423e-16,-4.6091e-16,0,1.247,1,0.194,0.194,0.2,0
1.663,5.9797,1.4727,2.6293,0.65773,0,1.5018,0.39374,2.2151e-16,6.3871e-16,3.6753e-16,-5.6584e-16,0,1.2558,1,0.196,0.196,0.2,0
1.6902,6.068,1.4547,2.6489,0.68492,0,1.5358,0.41077,6.0817e-16,2.3011e-15,1.143e-15,-6.7671e-16,0,1.265,1,0.198,0.198,0.2,0
1.7173,6.1564,1.4368,2.6684,0.7121,0,1.5699,0.4278,9.9483e-16,3.9636e-15,1.9185e-15,-7.8758e-16,0,1.2742,1,0.2,0.2,0.2,0
1.7445,6.2447,1.4189,2.6879,0.73928,0,1.6039,0.44483,1.3815e-15,5.626e-15,2.6939e-15,-8.9845e-16,0,1.2833,1,0.202,0.202,0.2,0
1.7716,6.3331,1.401,2.7074,0.76646,0,1.638,0.46185,1.7681e-15,7.2884e-15,3.4694e-15,-1.0093e-15,0,1.2925,1,0.204,0.204,0.2,0
1.7952,6.4095,1.3855,2.7239,0.78969,0,1.6676,0.47668,2.1269e-15,8.8426e-15,4.1846e-15,-1.0776e-15,0,1.3005,1,0.206,0.206,0.2,0
1.8026,6.433,1.3808,2.7273,0.79536,0,1.6777,0.4817,2.3619e-15,9.9153e-15,4.6318e-15,-9.5616e-16,0,1.303,1,0.208,0.208,0.2,0
