"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Residual_Density","Residual_Energy","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.672,6.0103,1.4607,2.6541,0.65114,0,1.5087,0.3972,1.5674e-15,6.6619e-15,1.3051e-15,6.2789e-15,0,1.2609,1,0.19,0.19,0.2,0
1.7057,6.1208,1.4426,2.6765,0.68637,0,1.5509,0.41831,-5.1243e-15,-2.0434e-14,-1.0992e-14,1.5707e-14,0,1.2705,1,0.192,0.192,0.2,0
1.7394,6.2313,1.4244,2.6988,0.72161,0,1.5931,0.43942,-1.1816e-14,-4.7529e-14,-2.3288e-14,2.5135e-14,0,1.28,1,0.194,0.194,0.2,0
1.7737,6.3439,1.4059,2.7217,0.75759,0,1.6361,0.46091,-1.8703e-14,-7.5914e-14,-3.5935e-14,3.4525e-14,0,1.2898,1,0.196,0.196,0.2,0
1.8091,6.4601,1.3868,2.7455,0.79488,0,1.6804,0.48306,-2.593e-14,-1.0655e-13,-4.9193e-14,4.3848e-14,0,1.2999,1,0.198,0.198,0.2,0
1.8261,6.5156,1.3769,2.7549,0.8141,0,1.7025,0.49409,-1.6693e-15,-5.8275e-15,-1.0429e-14,1.7145e-14,0,1.3052,1,0.2,0.2,0.2,0
1.8268,6.5171,1.3753,2.7527,0.8164,0,1.7043,0.49501,1.3498e-14,5.6742e-14,1.4019e-14,4.3657e-15,0,1.3061,1,0.202,0.202,0.2,0
1.8274,6.5187,1.3736,2.7505,0.81871,0,1.7061,0.49593,2.8664e-14,1.1931e-13,3.8467e-14,-8.4138e-15,0,1.3071,1,0.204,0.204,0.2,0
1.8281,6.5202,1.3719,2.7483,0.82101,0,1.708,0.49685,4.3831e-14,1.8188e-13,6.2915e-14,-2.1193e-14,0,1.308,1,0.206,0.206,0.2,0
1.8287,6.5219,1.3703,2.7462,0.8233,0,1.7098,0.49777,5.8489e-14,2.4271e-13,8.6662e-14,-3.3088e-14,0,1.309,1,0.208,0.208,0.2,0
1.8299,6.526,1.3693,2.7462,0.82509,0,1.7117,0.49871,6.1086e-14,2.6244e-13,9.385e-14,-2.4054e-14,0,1.3096,1,0.21,0.21,0.2,0
1.8311,6.5301,1.3684,2.7463,0.82687,0,1.7136,0.49966,6.3683e-14,2.8216e-13,1.0104e-13,-1.502e-14,0,1.3102,1,0.212,0.212,0.2,0
