"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Residual_Density","Residual_Energy","Residual_Momentum:0","Residual_Momentum:1","Residual_Momentum:2","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99855,3.7811,2.0028,1.9987,-0.001585,0,0.71235,-0.00096697,3.4352e-13,1.0275e-12,1.1278e-12,2.1229e-13,0,0.99874,1,0.09,0.09,0.2,0
0.99852,3.7811,2.003,1.9987,-0.0016515,0,0.71228,-0.0010031,3.6887e-13,1.1819e-12,1.3054e-12,2.0637e-13,0,0.99866,1,0.092,0.092,0.2,0
0.9985,3.7811,2.0032,1.9988,-0.001718,0,0.71221,-0.0010392,3.9421e-13,1.3362e-12,1.483e-12,2.0045e-13,0,0.99859,1,0.094,0.094,0.2,0
0.99848,3.7811,2.0034,1.9988,-0.0017846,0,0.71214,-0.0010753,4.1956e-13,1.4905e-12,1.6606e-12,1.9452e-13,0,0.99851,1,0.096,0.096,0.2,0
0.99845,3.781,2.0036,1.9989,-0.0018511,0,0.71206,-0.0011115,4.4491e-13,1.6449e-12,1.8382e-12,1.886e-13,0,0.99843,1,0.098,0.098,0.2,0
0.99843,3.781,2.0037,1.9989,-0.0019176,0,0.71199,-0.0011476,4.7025e-13,1.7992e-12,2.0158e-12,1.8268e-13,0,0.99836,1,0.1,0.1,0.2,0
0.9984,3.781,2.0039,1.999,-0.0019842,0,0.71192,-0.0011837,4.956e-13,1.9536e-12,2.1934e-12,1.7676e-13,0,0.99828,1,0.102,0.102,0.2,0
0.99936,3.7842,2.003,2.0004,-0.0012565,0,0.71289,-0.00069808,3.9401e-13,1.6417e-12,2.1644e-12,8.9329e-14,0,0.99867,1,0.104,0.104,0.2,0
1.0034,3.7973,1.9986,2.0055,0.0019733,0,0.71715,0.0014339,2.923e-13,1.6607e-12,2.1086e-12,2.9739e-14,0,1.0005,1,0.106,0.106,0.2,0
1.0073,3.81,1.9944,2.0105,0.0051125,0,0.7213,0.0035054,1.9467e-13,1.6877e-12,2.0392e-12,-2.2743e-14,0,1.0022,1,0.108,0.108,0.2,0
